Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,2,0,0.007863706243
1,2.027,0.01554404145,0.007969866278
2,2.055,0.0310880829,0.008079958165
3,2.082,0.04663212435,0.008186118199
4,2.109,0.0621761658,0.008292278234
5,2.137,0.07772020725,0.008402370121
6,2.164,0.0932642487,0.008508530155
7,2.191,0.1088082902,0.00861469019
8,2.219,0.1243523316,0.008724782077
9,2.903,0.1398963731,0.01141416961
10,2.94,0.1554404145,0.01155964818
11,2.967,0.170984456,0.01166580821
12,2.839,0.1865284974,0.01116253101
13,2.954,0.2020725389,0.01161469412
14,3.089,0.2176165803,0.01214549429
15,3.452,0.2331606218,0.01357275698
16,3.875,0.2487046632,0.01523593085
17,3.673,0.2642487047,0.01444169652
18,3.667,0.2797927461,0.0144181054
19,3.882,0.2953367876,0.01526345382
20,3.847,0.310880829,0.01512583896
21,3.671,0.3264248705,0.01443383281
22,3.667,0.3419689119,0.0144181054
23,3.722,0.3575129534,0.01463435732
24,3.683,0.3730569948,0.01448101505
25,3.667,0.3886010363,0.0144181054
26,3.667,0.4041450777,0.0144181054
27,3.667,0.4196891192,0.0144181054
28,3.667,0.4352331606,0.0144181054
29,3.667,0.4507772021,0.0144181054
30,3.667,0.4663212435,0.0144181054
31,3.667,0.481865285,0.0144181054
32,3.667,0.4974093264,0.0144181054
33,3.667,0.5129533679,0.0144181054
34,3.667,0.5284974093,0.0144181054
35,3.667,0.5440414508,0.0144181054
36,4.163,0.5595854922,0.01636830455
37,4.638,0.5751295337,0.01823593478
38,4.667,0.5906735751,0.01834995852
39,4.667,0.6062176166,0.01834995852
40,4.667,0.621761658,0.01834995852
41,3.416,0.6373056995,0.01343121026
42,3.958,0.6528497409,0.01556227466
43,4.623,0.6683937824,0.01817695698
44,5.1,0.6839378238,0.02005245092
45,5.104,0.6994818653,0.02006817833
46,4.695,0.7150259067,0.01846005041
47,4.048,0.7305699482,0.01591614144
48,3.382,0.7461139896,0.01329752726
49,3.64,0.7616580311,0.01431194536
50,3.65,0.7772020725,0.01435126389
51,3.972,0.792746114,0.0156173206
52,4,0.8082901554,0.01572741249
53,4.762,0.8238341969,0.01872348457
54,4.065,0.8393782383,0.01598298294
55,4.456,0.8549222798,0.01752033751
56,4.165,0.8704663212,0.01637616825
57,4.52,0.8860103627,0.01777197611
58,5.006,0.9015544041,0.01968285673
59,6.475,0.9170984456,0.02545874896
60,8.318,0.932642487,0.03270515427
61,10.011,0.9481865285,0.0393617816
62,11.719,0.9637305699,0.04607738673
63,13.85,0.9792746114,0.05445616574
64,15.773,0.9948186528,0.06201711929
65,17.398,1.010362694,0.06840638061
66,18.328,1.025906736,0.07206300401
67,19.617,1.041450777,0.07713116269
68,19.786,1.056994819,0.07779564587
69,20.177,1.07253886,0.07933300044
