Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
143,250.67,2.222797927,0.9864470277
144,252.848,2.238341969,0.9950179841
145,253.316,2.25388601,0.9968596772
146,253.952,2.269430052,0.9993624909
147,254.114,2.284974093,1
148,254.102,2.300518135,0.9999527771
149,254,2.316062176,0.9995513825
150,254,2.331606218,0.9995513825
151,254,2.347150259,0.9995513825
152,254,2.362694301,0.9995513825
153,254,2.378238342,0.9995513825
154,254,2.393782383,0.9995513825
155,254,2.409326425,0.9995513825
156,254,2.424870466,0.9995513825
157,253.685,2.440414508,0.9983117813
158,253.091,2.455958549,0.9959742478
159,253.024,2.471502591,0.9957105866
160,253.389,2.487046632,0.9971469498
161,250.238,2.502590674,0.9847470033
162,244.778,2.518134715,0.9632605838
163,235.824,2.533678756,0.92802443
164,222.2,2.549222798,0.8744106976
165,204.895,2.564766839,0.8063113406
166,185.38,2.580310881,0.7295150995
167,167.742,2.595854922,0.6601053071
168,145.564,2.611398964,0.5728295175
169,117.742,2.626943005,0.4633432239
170,97.308,2.642487047,0.3829304958
171,94.508,2.658031088,0.3719118191
172,101.481,2.67357513,0.3993522592
173,104.903,2.689119171,0.4128186562
174,118.194,2.704663212,0.4651219531
175,109.394,2.720207254,0.4304918265
176,104.842,2.735751295,0.4125786065
177,107.65,2.751295337,0.423628765
178,128.383,2.766839378,0.5052181304
179,113.019,2.78238342,0.4447570775
180,92.17,2.797927461,0.3627112241
181,81.384,2.813471503,0.3202657075
182,73.999,2.829015544,0.2912039478
183,62.098,2.844559585,0.2443706368
184,49.41,2.860103627,0.1944402906
185,39.523,2.875647668,0.1555325563
186,43.319,2.89119171,0.1704707336
187,60.661,2.906735751,0.2387156945
188,75.789,2.922279793,0.2982480304
189,81.215,2.937823834,0.3196006517
190,85.474,2.953367876,0.3363608459
191,85.463,2.968911917,0.3363175583
192,80.517,2.984455959,0.316853853
193,75.533,3,0.2972406085
194,64.559,3.015544041,0.2540552665
195,46.617,3.031088083,0.1834491606
196,34.476,3.046632124,0.1356713916
197,26.652,3.062176166,0.1048820608
198,20.064,3.077720207,0.07895668873
199,19.143,3.093264249,0.07533233116
200,21.218,3.10880829,0.08349795761
201,28.259,3.124352332,0.1112059942
202,36.75,3.139896373,0.1446201311
203,45.708,3.155440415,0.1798720259
