Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
145,2.65,2.25388601,0.01044899118
146,1.751,2.269430052,0.00690422021
147,1.212,2.284974093,0.004778934834
148,1,2.300518135,0.003943015539
149,1,2.316062176,0.003943015539
150,1,2.331606218,0.003943015539
151,1,2.347150259,0.003943015539
152,1.324,2.362694301,0.005220552574
153,1.664,2.378238342,0.006561177858
154,2.117,2.393782383,0.008347363897
155,2.649,2.409326425,0.01044504816
156,3.193,2.424870466,0.01259004862
157,3.79,2.440414508,0.01494402889
158,3.846,2.455958549,0.01516483776
159,2.744,2.471502591,0.01081963464
160,2.667,2.487046632,0.01051602244
161,3.472,2.502590674,0.01369014995
162,4.015,2.518134715,0.01583120739
163,4.635,2.533678756,0.01827587703
164,5.143,2.549222798,0.02027892892
165,5.667,2.564766839,0.02234506906
166,5.531,2.580310881,0.02180881895
167,5.493,2.595854922,0.02165898436
168,6.932,2.611398964,0.02733298372
169,7,2.626943005,0.02760110878
170,7.721,2.642487047,0.03044402298
171,7.869,2.658031088,0.03102758928
172,8.427,2.67357513,0.03322779195
173,9.261,2.689119171,0.03651626691
174,10.164,2.704663212,0.04007680994
175,10.97,2.720207254,0.04325488047
176,10.062,2.735751295,0.03967462236
177,9.621,2.751295337,0.0379357525
178,10.104,2.766839378,0.03984022901
179,10.31,2.78238342,0.04065249021
180,9.534,2.797927461,0.03759271015
181,9,2.813471503,0.03548713985
182,8.6,2.829015544,0.03390993364
183,8.053,2.844559585,0.03175310414
184,7.131,2.860103627,0.02811764381
185,7,2.875647668,0.02760110878
186,7,2.89119171,0.02760110878
187,7,2.906735751,0.02760110878
188,7,2.922279793,0.02760110878
189,7,2.937823834,0.02760110878
190,7.107,2.953367876,0.02802301144
191,7.273,2.968911917,0.02867755202
192,7.333,2.984455959,0.02891413295
193,7.11,3,0.02803484049
194,7.15,3.015544041,0.02819256111
195,7.348,3.031088083,0.02897327818
196,7.434,3.046632124,0.02931237752
197,7.619,3.062176166,0.03004183539
198,8.062,3.077720207,0.03178859128
199,8.782,3.093264249,0.03462756247
200,9.561,3.10880829,0.03769917157
201,10.116,3.124352332,0.0398875452
202,10.728,3.139896373,0.04230067071
203,11.231,3.155440415,0.04428400752
204,11.292,3.170984456,0.04452453147
205,11.596,3.186528497,0.0457232082
206,11.283,3.202072539,0.04448904433
207,11.55,3.21761658,0.04554182948
