Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
143,9.786,2.222797927,0.03842665127
144,9.333,2.238341969,0.03664785779
145,9.034,2.25388601,0.03547377556
146,8.333,2.269430052,0.03272116136
147,8.138,2.284974093,0.03195545556
148,10.395,2.300518135,0.0408180094
149,11.46,2.316062176,0.0449999411
150,11.978,2.331606218,0.04703396985
151,12.013,2.347150259,0.04717140423
152,12.863,2.362694301,0.05050909619
153,15.588,2.378238342,0.06120934397
154,20.152,2.393782383,0.07913078648
155,24.932,2.409326425,0.09790039542
156,31.78,2.424870466,0.1247904126
157,30.764,2.440414508,0.120800889
158,37.892,2.455958549,0.1487903812
159,42.744,2.471502591,0.1678427122
160,41.19,2.487046632,0.161740626
161,45.595,2.502590674,0.1790377238
162,52.095,2.518134715,0.2045612506
163,50.953,2.533678756,0.2000769633
164,54.347,2.549222798,0.2134041709
165,56.653,2.564766839,0.2224591329
166,60.124,2.580310881,0.2360886962
167,68.504,2.595854922,0.2689944123
168,69.704,2.611398964,0.273706448
169,72.73,2.626943005,0.2855886314
170,77.759,2.642487047,0.3053359878
171,79.014,2.658031088,0.3102639918
172,83.618,2.67357513,0.3283425022
173,88.012,2.689119171,0.3455964063
174,87.707,2.704663212,0.3443987639
175,87.227,2.720207254,0.3425139496
176,89.362,2.735751295,0.3508974465
177,90.368,2.751295337,0.3548477031
178,91.533,2.766839378,0.3594223044
179,93.373,2.78238342,0.3666474259
180,85.466,2.797927461,0.3355990372
181,94.089,2.813471503,0.3694589405
182,93.358,2.829015544,0.3665885254
183,94.083,2.844559585,0.3694353803
184,97.667,2.860103627,0.3835086603
185,94.419,2.875647668,0.3707547503
186,94.745,2.89119171,0.3720348534
187,99.95,2.906735751,0.3924733083
188,104.235,2.922279793,0.4092992025
189,93.408,2.937823834,0.3667848602
190,95.191,2.953367876,0.37378616
191,107.64,2.968911917,0.4226696038
192,111.128,2.984455959,0.436365921
193,105.679,3,0.4149693521
194,105.017,3.015544041,0.4123698791
195,102.377,3.031088083,0.4020034005
196,108.669,3.046632124,0.4267101745
197,107.894,3.062176166,0.4236669847
198,108.471,3.077720207,0.4259326886
199,108.581,3.093264249,0.4263646252
200,113.852,3.10880829,0.4470622421
201,109.877,3.124352332,0.4314536238
202,105.588,3.139896373,0.4146120228
203,117.904,3.155440415,0.462973216
204,120.458,3.170984456,0.4730019987
205,91.113,3.186528497,0.3577730919
206,93.072,3.202072539,0.3654654902
207,114.157,3.21761658,0.4482598845
208,106.95,3.233160622,0.4199601833
209,97.27,3.248704663,0.3819497618
210,98.169,3.264248705,0.3854798619
211,101.866,3.279792746,0.3999968586
212,101.41,3.295336788,0.3982062851
213,106.57,3.310880829,0.4184680387
214,108.504,3.32642487,0.4260622696
215,102.655,3.341968912,0.4030950221
216,97.069,3.357512953,0.3811604959
217,97,3.373056995,0.3808895538
218,96.271,3.388601036,0.3780269921
219,92.686,3.404145078,0.3639497854
220,90.327,3.419689119,0.3546867085
221,87.824,3.435233161,0.3448581874
222,94.66,3.450777202,0.3717010842
223,102.226,3.466321244,0.4014104694
224,91.667,3.481865285,0.3599484817
225,85.3,3.497409326,0.3349472056
226,86.922,3.512953368,0.3413163072
227,80.162,3.528497409,0.3147718393
228,79.518,3.544041451,0.3122430468
229,75.173,3.559585492,0.2951815508
230,63.982,3.575129534,0.251237891
231,57.259,3.590673575,0.2248387109
232,55.033,3.606217617,0.2160978847
233,49.297,3.621761658,0.193574354
234,44.17,3.637305699,0.1734421814
235,40.99,3.652849741,0.1609552867
236,42.699,3.668393782,0.1676660109
237,35.319,3.683937824,0.1386869912
238,37.355,3.699481865,0.1466817452
239,48.401,3.715025907,0.190056034
240,59.187,3.730569948,0.2324093817
241,62.368,3.74611399,0.244900203
242,66.803,3.761658031,0.2623151017
243,78.428,3.777202073,0.3079629477
244,86.783,3.792746114,0.3407704964
245,90.104,3.808290155,0.3538110552
246,94.13,3.823834197,0.3696199351
247,91.874,3.839378238,0.3607613079
248,103.124,3.85492228,0.4049366428
249,111.871,3.870466321,0.4392834564
250,108.806,3.886010363,0.4272481319
251,105.182,3.901554404,0.413017784
252,116.431,3.917098446,0.4571891922
253,107.958,3.932642487,0.4239182933
254,144.633,3.948186528,0.5679298849
255,136.838,3.96373057,0.5373212862
256,130.926,3.979274611,0.5141066569
257,155.918,3.994818653,0.6122426541
258,154.588,4.010362694,0.6070201479
259,145.449,4.025906736,0.5711340692
260,144.767,4.041450777,0.5684560622
261,140.691,4.056994819,0.5524508476
262,147.589,4.07253886,0.5795371996
263,169.917,4.088082902,0.6672124775
264,167.709,4.103626943,0.6585423318
265,177.923,4.119170984,0.6986496091
266,166.329,4.134715026,0.6531234907
267,172.133,4.150259067,0.6759140368
268,178.655,4.165803109,0.7015239509
269,188.208,4.18134715,0.7390356819
270,191.681,4.196891192,0.7526730986
271,183.27,4.212435233,0.7196456549
272,184.595,4.227979275,0.7248485277
273,204.352,4.243523316,0.8024282691
274,213.366,4.259067358,0.8378235107
