Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,4,0,0.01572741249
1,3.987,0.01554404145,0.0156762984
2,3.975,0.0310880829,0.01562911616
3,3.962,0.04663212435,0.01557800207
4,4.283,0.0621761658,0.01684012692
5,4,0.07772020725,0.01572741249
6,4,0.0932642487,0.01572741249
7,4,0.1088082902,0.01572741249
8,2.971,0.1243523316,0.01168153562
9,2.667,0.1398963731,0.01048625228
10,2.667,0.1554404145,0.01048625228
11,2.667,0.170984456,0.01048625228
12,2,0.1865284974,0.007863706243
13,3,0.2020725389,0.01179555937
14,3,0.2176165803,0.01179555937
15,3.667,0.2331606218,0.0144181054
16,2.667,0.2487046632,0.01048625228
17,2.667,0.2642487047,0.01048625228
18,2.667,0.2797927461,0.01048625228
19,2.667,0.2953367876,0.01048625228
20,3.667,0.310880829,0.0144181054
21,3.667,0.3264248705,0.0144181054
22,3.667,0.3419689119,0.0144181054
23,3.667,0.3575129534,0.0144181054
24,3.667,0.3730569948,0.0144181054
25,3.667,0.3886010363,0.0144181054
26,3.667,0.4041450777,0.0144181054
27,3.641,0.4196891192,0.01431587722
28,3.603,0.4352331606,0.0141664668
29,3.565,0.4507772021,0.01401705638
30,3.527,0.4663212435,0.01386764596
31,3.489,0.481865285,0.01371823554
32,3.451,0.4974093264,0.01356882512
33,2.746,0.5129533679,0.01079686867
34,2.708,0.5284974093,0.01064745825
35,2.67,0.5440414508,0.01049804783
36,3.088,0.5595854922,0.01214156244
37,3.063,0.5751295337,0.01204326611
38,3.037,0.5906735751,0.01194103793
39,3.012,0.6062176166,0.0118427416
40,2.987,0.621761658,0.01174444527
41,2.961,0.6373056995,0.01164221709
42,2.936,0.6528497409,0.01154392077
43,2.911,0.6683937824,0.01144562444
44,3.114,0.6839378238,0.01224379062
45,3.14,0.6994818653,0.0123460188
46,3.165,0.7150259067,0.01244431513
47,2.667,0.7305699482,0.01048625228
48,2.667,0.7461139896,0.01048625228
49,2.667,0.7616580311,0.01048625228
50,2.667,0.7772020725,0.01048625228
51,2.667,0.792746114,0.01048625228
52,2.976,0.8082901554,0.01170119489
53,3,0.8238341969,0.01179555937
54,3,0.8393782383,0.01179555937
55,3,0.8549222798,0.01179555937
56,3,0.8704663212,0.01179555937
57,3,0.8860103627,0.01179555937
58,3,0.9015544041,0.01179555937
59,3,0.9170984456,0.01179555937
60,2.186,0.932642487,0.008595030924
61,2.878,0.9481865285,0.01131587328
62,3.333,0.9637305699,0.01310486645
63,4.667,0.9792746114,0.01834995852
64,4,0.9948186528,0.01572741249
65,4,1.010362694,0.01572741249
66,4.508,1.025906736,0.01772479387
67,5.212,1.041450777,0.02049281847
68,6.195,1.056994819,0.02435783009
69,7,1.07253886,0.02752297185
70,7.44,1.088082902,0.02925298723
71,7.698,1.103626943,0.03026740533
72,7.647,1.119170984,0.03006688082
73,8.182,1.134715026,0.03217042224
74,8.478,1.150259067,0.03333425077
75,9.083,1.165803109,0.0357130219
76,9.925,1.18134715,0.03902364223
77,10.309,1.196891192,0.04053347383
78,11.297,1.212435233,0.04441814472
79,12.001,1.227979275,0.04718616931
80,13.333,1.243523316,0.05242339767
81,13.411,1.259067358,0.05273008222
82,13.449,1.274611399,0.05287949263
83,13.102,1.29015544,0.0515151396
84,14.333,1.305699482,0.05635525079
85,13.41,1.321243523,0.05272615036
86,13.089,1.336787565,0.05146402551
87,13.435,1.352331606,0.05282444669
88,13.677,1.367875648,0.05377595515
89,13.715,1.383419689,0.05392536556
90,13.086,1.398963731,0.05145222995
91,12.638,1.414507772,0.04969075975
92,11.33,1.430051813,0.04454789587
93,10.844,1.445595855,0.04263701525
94,10.143,1.461139896,0.03988078621
95,9,1.476683938,0.0353866781
96,8.235,1.492227979,0.03237881046
97,7,1.507772021,0.02752297185
98,6,1.523316062,0.02359111873
99,6,1.538860104,0.02359111873
100,5.333,1.554404145,0.0209685727
101,5.333,1.569948187,0.0209685727
102,5.042,1.585492228,0.01982440344
103,5.029,1.601036269,0.01977328935
104,5.016,1.616580311,0.01972217526
105,5.004,1.632124352,0.01967499302
106,5.315,1.647668394,0.02089779934
107,5.355,1.663212435,0.02105507347
108,5.931,1.678756477,0.02331982086
109,5.906,1.694300518,0.02322152454
110,6,1.70984456,0.02359111873
111,8,1.725388601,0.03145482497
112,10.085,1.740932642,0.03965273873
113,10.627,1.756476684,0.04178380312
114,12.888,1.772020725,0.05067372303
115,14.036,1.787564767,0.05518749042
116,17,1.803108808,0.06684150307
117,18.779,1.81865285,0.07383626977
118,22.3,1.834196891,0.08768032461
119,24.174,1.849740933,0.09504861736
120,23.559,1.865284974,0.09263052769
121,23.065,1.880829016,0.09068819225
122,24.302,1.896373057,0.09555189456
123,26,1.911917098,0.1022281812
124,29.66,1.92746114,0.1166187636
125,30.581,1.943005181,0.1202400003
126,30.837,1.958549223,0.1212465547
127,28.883,1.974093264,0.1135637137
128,27.954,1.989637306,0.1099110222
129,27.634,2.005181347,0.1086528292
130,27.293,2.020725389,0.1073120673
131,26.985,2.03626943,0.1061010565
132,30.389,2.051813472,0.1194850845
133,31.089,2.067357513,0.1222373817
134,27.425,2.082901554,0.1078310719
135,26.678,2.098445596,0.1048939776
136,27.168,2.113989637,0.1068205856
137,27.726,2.129533679,0.1090145597
138,26.757,2.14507772,0.105204594
139,23.375,2.160621762,0.09190706672
140,21.638,2.176165803,0.08507743785
141,19.119,2.191709845,0.07517309983
142,16.465,2.207253886,0.06473796165
143,14.766,2.222797927,0.05805774319
144,14.237,2.238341969,0.05597779289
145,12.703,2.25388601,0.0499463302
146,9.277,2.269430052,0.03647580141
147,7.39,2.284974093,0.02905639457
148,9.831,2.300518135,0.03865404804
149,9.322,2.316062176,0.0366527348
150,9.699,2.331606218,0.03813504343
151,10.737,2.347150259,0.04221630697
152,12.442,2.362694301,0.04892011654
153,16.084,2.378238342,0.06323992561
154,21.319,2.393782383,0.0838231767
155,26.63,2.409326425,0.1047052486
156,32.489,2.424870466,0.1277419761
157,32.38,2.440414508,0.1273134041
158,35.667,2.455958549,0.1402374053
159,40.53,2.471502591,0.159358007
160,44.763,2.487046632,0.1760015413
161,48.901,2.502590674,0.1922715495
162,54.23,2.518134715,0.2132243948
163,59.918,2.533678756,0.2355887753
164,56.384,2.549222798,0.2216936064
165,62.386,2.564766839,0.2452925889
166,63.921,2.580310881,0.2513279834
167,63.277,2.595854922,0.24879587
168,66.603,2.611398964,0.2618732135
169,68.404,2.626943005,0.2689544809
170,68.306,2.642487047,0.2685691593
171,68.325,2.658031088,0.2686438645
172,69.698,2.67357513,0.2740422989
173,71.142,2.689119171,0.2797198948
174,70.648,2.704663212,0.2777775593
175,71.145,2.720207254,0.2797316903
176,74.206,2.735751295,0.2917670927
177,68.942,2.751295337,0.2710698179
178,60.746,2.766839378,0.2388443497
179,63.943,2.78238342,0.2514144842
180,64.893,2.797927461,0.2551497446
181,67.426,2.813471503,0.2651091286
182,62.461,2.829015544,0.2455874778
183,56.4,2.844559585,0.2217565161
184,53.294,2.860103627,0.2095441803
185,45.019,2.875647668,0.1770080957
186,37.468,2.89119171,0.1473186728
187,35.737,2.906735751,0.140512635
188,27.238,2.922279793,0.1070958153
189,25.025,2.937823834,0.09839462437
190,25.645,2.953367876,0.1008323733
191,18.401,2.968911917,0.07235002929
192,14.235,2.984455959,0.05596992919
193,13.779,3,0.05417700416
194,12.828,3.015544041,0.05043781185
195,15.621,3.031088083,0.06141947761
196,19.078,3.046632124,0.07501189386
197,24.02,3.062176166,0.09444311198
198,30.159,3.077720207,0.1185807583
199,37.309,3.093264249,0.1466935081
200,47.798,3.10880829,0.1879347155
201,57.457,3.124352332,0.2259124848
202,65.732,3.139896373,0.2584485694
203,69.34,3.155440415,0.2726346955
204,80.832,3.170984456,0.3178195515
205,80.831,3.186528497,0.3178156197
206,84.583,3.202072539,0.3325679326
207,92.783,3.21761658,0.3648091282
208,94.092,3.233160622,0.3699559239
209,92.667,3.248704663,0.3643530332
210,94.277,3.264248705,0.3706833168
211,90.106,3.279792746,0.3542835574
212,92.607,3.295336788,0.364117122
213,105.519,3.310880829,0.4148852095
214,93.451,3.32642487,0.3674356061
215,118.542,3.341968912,0.4660897328
216,110.278,3.357512953,0.4335968986
217,101.014,3.373056995,0.3971722112
218,107.492,3.388601036,0.4226427558
219,109.491,3.404145078,0.4305025301
