Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,5,0,0.01963086128
1,5.017,0.01554404145,0.01969760621
2,5.034,0.0310880829,0.01976435114
3,6.069,0.04663212435,0.02382793943
4,6.137,0.0621761658,0.02409491914
5,7.171,0.07772020725,0.02815458125
6,7.206,0.0932642487,0.02829199728
7,7.12,0.1088082902,0.02795434647
8,6.137,0.1243523316,0.02409491914
9,6.154,0.1398963731,0.02416166407
10,5.619,0.1554404145,0.02206116191
11,6.667,0.170984456,0.02617579044
12,6.667,0.1865284974,0.02617579044
13,6.148,0.2020725389,0.02413810704
14,6.24,0.2176165803,0.02449931488
15,7,0.2331606218,0.0274832058
16,6.274,0.2487046632,0.02463280474
17,5.764,0.2642487047,0.02263045689
18,5.769,0.2797927461,0.02265008775
19,4.775,0.2953367876,0.01874747253
20,4.781,0.310880829,0.01877102956
21,5.026,0.3264248705,0.01973294176
22,5.044,0.3419689119,0.01980361286
23,5.061,0.3575129534,0.01987035779
24,4.667,0.3730569948,0.01832344592
25,4.667,0.3886010363,0.01832344592
26,4.667,0.4041450777,0.01832344592
27,4,0.4196891192,0.01570468903
28,4,0.4352331606,0.01570468903
29,4,0.4507772021,0.01570468903
30,3.667,0.4663212435,0.01439727367
31,3.667,0.481865285,0.01439727367
32,4,0.4974093264,0.01570468903
33,4,0.5129533679,0.01570468903
34,4,0.5284974093,0.01570468903
35,4,0.5440414508,0.01570468903
36,4.667,0.5595854922,0.01832344592
37,4,0.5751295337,0.01570468903
38,4,0.5906735751,0.01570468903
39,4,0.6062176166,0.01570468903
40,4.667,0.621761658,0.01832344592
41,6.369,0.6373056995,0.0250057911
42,7.626,0.6528497409,0.02994098963
43,8.649,0.6683937824,0.03395746385
44,11.256,0.6839378238,0.04419299492
45,15.438,0.6994818653,0.0606122473
46,17.525,0.7150259067,0.0688061688
47,17.342,0.7305699482,0.06808767928
48,16.43,0.7461139896,0.06450701018
49,15.84,0.7616580311,0.06219056855
50,16.666,0.7772020725,0.06543358683
51,17.33,0.792746114,0.06804056521
52,19.673,0.8082901554,0.07723958681
53,21.632,0.8238341969,0.08493095826
54,22.034,0.8393782383,0.08650927951
55,22.731,0.8549222798,0.08924582157
56,22.144,0.8704663212,0.08694115846
57,20.891,0.8860103627,0.08202166462
58,19.304,0.9015544041,0.07579082925
59,18.703,0.9170984456,0.07343119972
60,20.065,0.932642487,0.07877864633
61,21.105,0.9481865285,0.08286186548
62,22.812,0.9637305699,0.08956384152
63,22.291,0.9792746114,0.08751830578
64,21.386,0.9948186528,0.08396511989
65,20.265,1.010362694,0.07956388079
66,19.016,1.025906736,0.07466009164
67,19.197,1.041450777,0.07537072882
68,19.11,1.056994819,0.07502915183
69,18.121,1.07253886,0.07114616747
70,18,1.088082902,0.07067110062
71,17.928,1.103626943,0.07038841622
72,17,1.119170984,0.06674492837
73,16,1.134715026,0.06281875611
74,14.179,1.150259067,0.05566919643
75,10.76,1.165803109,0.04224561348
76,10.038,1.18134715,0.03941091711
77,8.972,1.196891192,0.03522561749
78,7.785,1.212435233,0.03056525102
79,7.923,1.227979275,0.03110706279
80,7.371,1.243523316,0.02893981571
81,7.388,1.259067358,0.02900656063
82,6.937,1.274611399,0.02723585695
83,7.141,1.29015544,0.02803679609
84,7.333,1.305699482,0.02879062116
85,8.819,1.321243523,0.03462491313
86,10.316,1.336787565,0.040502393
87,11.327,1.352331606,0.04447175315
88,12.836,1.367875648,0.05039634709
89,12.875,1.383419689,0.05054946781
90,13.751,1.398963731,0.0539887947
91,13.678,1.414507772,0.05370218413
92,16.87,1.430051813,0.06623452597
93,22.843,1.445595855,0.08968555286
94,27.369,1.461139896,0.1074554085
95,28.511,1.476683938,0.1119390972
96,30.601,1.492227979,0.1201447972
97,35.089,1.507772021,0.1377654583
98,36.503,1.523316062,0.1433170659
99,27.869,1.538860104,0.1094184946
100,35.476,1.554404145,0.139284887
101,47.78,1.569948187,0.1875925104
102,58.561,1.585492228,0.2299205735
103,64.334,1.601036269,0.252586366
104,60.697,1.616580311,0.2383068775
105,52.601,1.632124352,0.2065205869
106,46.38,1.647668394,0.1820958693
107,42.944,1.663212435,0.1686055414
108,42.502,1.678756477,0.1668701733
109,42.912,1.694300518,0.1684799039
110,47.641,1.70984456,0.1870467725
111,58.857,1.725388601,0.2310827205
112,67.595,1.740932642,0.2653896137
113,63.482,1.756476684,0.2492412672
114,65.028,1.772020725,0.2553111295
115,45.037,1.787564767,0.1768230199
116,33.267,1.803108808,0.1306119725
117,33.017,1.81865285,0.1296304294
118,40.022,1.834196891,0.1571332661
119,39.814,1.849740933,0.1563166222
120,39.763,1.865284974,0.1561163875
121,39.585,1.880829016,0.1554175288
122,32.727,1.896373057,0.1284918395
123,29.512,1.911917098,0.1158691956
124,25.042,1.92746114,0.09831920566
125,19.381,1.943005181,0.07609314451
126,15.439,1.958549223,0.06061617347
127,13.608,1.974093264,0.05342735207
128,11.667,1.989637306,0.04580665172
129,9.474,2.005181347,0.03719655596
130,9.076,2.020725389,0.0356339394
131,7.911,2.03626943,0.03105994872
132,9.087,2.051813472,0.0356771273
133,11,2.067357513,0.04318789483
134,13.432,2.082901554,0.05273634575
135,15.751,2.098445596,0.06184113922
136,18.66,2.113989637,0.07326237431
137,20.81,2.129533679,0.08170364467
138,22.458,2.14507772,0.08817397655
139,24.509,2.160621762,0.09622655584
140,26.534,2.176165803,0.1041770547
141,27.109,2.191709845,0.1064346037
142,44.763,2.207253886,0.1757472487
143,61.902,2.222797927,0.243037915
144,68.206,2.238341969,0.267788505
145,73.766,2.25388601,0.2896180227
146,73.842,2.269430052,0.2899164118
147,63.768,2.284974093,0.2503641525
148,57.882,2.300518135,0.2272547026
149,62.208,2.316062176,0.2442393238
150,70.293,2.331606218,0.2759824265
151,84.762,2.347150259,0.3327902128
152,83.736,2.362694301,0.3287619601
153,86.062,2.378238342,0.3378942368
154,81.49,2.393782383,0.3199437772
155,78.24,2.409326425,0.3071837174
156,72.178,2.424870466,0.2833832612
157,73.181,2.440414508,0.2873212119
158,74.186,2.455958549,0.291267015
159,80.759,2.471502591,0.3170737453
160,89.213,2.487046632,0.3502656056
161,87.322,2.502590674,0.3428412138
162,84.713,2.518134715,0.3325978304
163,74.448,2.533678756,0.2922956722
164,64.413,2.549222798,0.2528965336
165,57.308,2.564766839,0.2250010797
166,60.191,2.580310881,0.2363202343
167,66.455,2.595854922,0.2609137773
168,67.009,2.611398964,0.2630888768
169,66.13,2.626943005,0.2596377713
170,64.054,2.642487047,0.2514870377
171,54.006,2.658031088,0.2120368589
172,35.227,2.67357513,0.1383072701
173,19.643,2.689119171,0.07712180164
174,13.333,2.704663212,0.0523476547
175,13.668,2.720207254,0.05366292241
176,13.656,2.735751295,0.05361580834
177,12.858,2.751295337,0.05048272288
