Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,5,0,0.01961191934
1,6.978,0.01554404145,0.02737039463
2,8.557,0.0310880829,0.03356383876
3,9.737,0.04663212435,0.03819225172
4,11.316,0.0621761658,0.04438569585
5,12.283,0.07772020725,0.04817864105
6,13.206,0.0932642487,0.05179900136
7,14.078,0.1088082902,0.05521932009
8,13.701,0.1243523316,0.05374058138
9,13.074,0.1398963731,0.05128124669
10,13.232,0.1554404145,0.05190098334
11,12.851,0.170984456,0.05040655509
12,12.342,0.1865284974,0.0484100617
13,11.287,0.2020725389,0.04427194672
14,10.539,0.2176165803,0.04133800359
15,9.675,0.2331606218,0.03794906392
16,8.649,0.2487046632,0.03392469807
17,9.667,0.2642487047,0.03791768485
18,10.333,0.2797927461,0.04052999251
19,12.292,0.2953367876,0.04821394251
20,12.683,0.310880829,0.0497475946
21,13.848,0.3264248705,0.0543171718
22,14.736,0.3419689119,0.05780024868
23,18.224,0.3575129534,0.07148152361
24,21.33,0.3730569948,0.0836644479
25,23.299,0.3886010363,0.09138762174
26,23.772,0.4041450777,0.09324290931
27,23.52,0.4196891192,0.09225446858
28,26.34,0.4352331606,0.1033155911
29,21.955,0.4507772021,0.08611593782
30,19.1,0.4663212435,0.07491753188
31,16.551,0.481865285,0.0649193754
32,13.085,0.4974093264,0.05132439291
33,11.713,0.5129533679,0.04594288225
34,10.936,0.5284974093,0.04289518998
35,8.725,0.5440414508,0.03422279925
36,10.148,0.5595854922,0.03980435149
37,9.855,0.5751295337,0.03865509302
38,9.833,0.5906735751,0.03856880057
39,9.811,0.6062176166,0.03848250813
40,9.894,0.621761658,0.03880806599
41,9.65,0.6373056995,0.03785100433
42,10,0.6528497409,0.03922383868
43,10,0.6683937824,0.03922383868
44,10.586,0.6839378238,0.04152235563
45,10.198,0.6994818653,0.04000047069
46,9.8,0.7150259067,0.03843936191
47,8.271,0.7305699482,0.03244203697
48,6.42,0.7461139896,0.02518170443
49,4.796,0.7616580311,0.01881175303
50,4.236,0.7772020725,0.01661521806
51,3.56,0.792746114,0.01396368657
52,3.429,0.8082901554,0.01344985428
53,3.418,0.8238341969,0.01340670806
54,3.667,0.8393782383,0.01438338164
55,4,0.8549222798,0.01568953547
56,4.104,0.8704663212,0.01609746339
57,4.667,0.8860103627,0.01830576551
58,4.667,0.9015544041,0.01830576551
59,4.705,0.9170984456,0.0184548161
60,7.017,0.932642487,0.0275233676
61,7.661,0.9481865285,0.03004938281
62,8.639,0.9637305699,0.03388547424
63,9.926,0.9792746114,0.03893358227
64,9.964,0.9948186528,0.03908263286
65,10.24,1.010362694,0.04016521081
66,9.437,1.025906736,0.03701553656
67,9.393,1.041450777,0.03684295167
68,8.428,1.056994819,0.03305785124
69,8.396,1.07253886,0.03293233496
70,9.16,1.088082902,0.03592903623
71,9.884,1.103626943,0.03876884215
72,9.63,1.119170984,0.03777255665
